MeSH ID,MeSH Term
D000075363,Immunoglobulin Light-chain Amyloidosis
D058922,Inflammatory Breast Neoplasms
D015192,Infratentorial Neoplasms
D007340,Insulinoma
D007414,Intestinal Neoplasms
D064090,Intraocular Lymphoma
D015811,Iris Neoplasms
D007573,Jaw Neoplasms
D059885,Kasabach-Merritt Syndrome
D055623,"Keratosis, Actinic"
D007680,Kidney Neoplasms
D018285,Klatskin Tumor
D007725,Krukenberg Tumor
D015624,Lambert-Eaton Myasthenic Syndrome
D007822,Laryngeal Neoplasms
D007889,Leiomyoma
D018231,Leiomyomatosis
D007890,Leiomyosarcoma
D007938,Leukemia
D015448,"Leukemia, B-Cell"
D015471,"Leukemia, Basophilic, Acute"
D015456,"Leukemia, Biphenotypic, Acute"
D015472,"Leukemia, Eosinophilic, Acute"
D004915,"Leukemia, Erythroblastic, Acute"
D007943,"Leukemia, Hairy Cell"
D054066,"Leukemia, Large Granular Lymphocytic"
D015451,"Leukemia, Lymphocytic, Chronic, B-Cell"
D007945,"Leukemia, Lymphoid"
D007946,"Leukemia, Mast-Cell"
D007947,"Leukemia, Megakaryoblastic, Acute"
D007948,"Leukemia, Monocytic, Acute"
D015464,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
D007951,"Leukemia, Myeloid"
D015465,"Leukemia, Myeloid, Accelerated Phase"
D015470,"Leukemia, Myeloid, Acute"
D054438,"Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative"
D015466,"Leukemia, Myeloid, Chronic-Phase"
D015479,"Leukemia, Myelomonocytic, Acute"
D015477,"Leukemia, Myelomonocytic, Chronic"
D054429,"Leukemia, Myelomonocytic, Juvenile"
D007952,"Leukemia, Plasma Cell"
D015463,"Leukemia, Prolymphocytic"
D054403,"Leukemia, Prolymphocytic, B-Cell"
D015461,"Leukemia, Prolymphocytic, T-Cell"
D015473,"Leukemia, Promyelocytic, Acute"
D007953,"Leukemia, Radiation-Induced"
D015458,"Leukemia, T-Cell"
D015459,"Leukemia-Lymphoma, Adult T-Cell"
D007971,Leukoplakia
D017733,"Leukoplakia, Hairy"
D007972,"Leukoplakia, Oral"
D007984,Leydig Cell Tumor
D016864,Li-Fraumeni Syndrome
D020363,Limbic Encephalitis
D008039,Linitis Plastica
D008048,Lip Neoplasms
D008067,Lipoma
D008080,Liposarcoma
D018208,"Liposarcoma, Myxoid"
D008113,Liver Neoplasms
D008114,"Liver Neoplasms, Experimental"
D008175,Lung Neoplasms
D018192,Lymphangioleiomyomatosis
D008202,Lymphangioma
D008203,Lymphangiomyoma
D008204,Lymphangiosarcoma
D008207,Lymphatic Metastasis
D008210,Lymphocele
D008223,Lymphoma
D016483,"Lymphoma, AIDS-Related"
D016393,"Lymphoma, B-Cell"
D018442,"Lymphoma, B-Cell, Marginal Zone"
D054391,"Lymphoma, Extranodal NK-T-Cell"
D008224,"Lymphoma, Follicular"
D016403,"Lymphoma, Large B-Cell, Diffuse"
D017728,"Lymphoma, Large-Cell, Anaplastic"
D016400,"Lymphoma, Large-Cell, Immunoblastic"
D020522,"Lymphoma, Mantle-Cell"
D008228,"Lymphoma, Non-Hodgkin"
D054446,"Lymphoma, Primary Cutaneous Anaplastic Large Cell"
D054685,"Lymphoma, Primary Effusion"
D016399,"Lymphoma, T-Cell"
D016410,"Lymphoma, T-Cell, Cutaneous"
D016411,"Lymphoma, T-Cell, Peripheral"
D008230,Lymphomatoid Granulomatosis
D017731,Lymphomatoid Papulosis
D008303,Malignant Carcinoid Syndrome
D015674,"Mammary Neoplasms, Animal"
D008339,Mandibular Neoplasms
D012515,Mast-Cell Sarcoma
D034801,Mastocytoma
D008415,Mastocytosis
D034701,"Mastocytosis, Cutaneous"
D034721,"Mastocytosis, Systemic"
D008441,Maxillary Neoplasms
D008444,Maxillary Sinus Neoplasms
D008479,Mediastinal Neoplasms
D008527,Medulloblastoma
D008539,Meigs Syndrome
D008545,Melanoma
D008546,"Melanoma, Experimental"
D055756,Meningeal Carcinomatosis
D008577,Meningeal Neoplasms
D008579,Meningioma
D008637,Mesenchymoma
D008654,Mesothelioma
D000086002,"Mesothelioma, Malignant"
D018198,"Mixed Tumor, Malignant"
D018199,"Mixed Tumor, Mesodermal"
D018200,"Mixed Tumor, Mullerian"
D009062,Mouth Neoplasms
D009078,Mucocele
D018298,Mucoepidermoid Tumor
D055653,Muir-Torre Syndrome
D009377,Multiple Endocrine Neoplasia
D018761,Multiple Endocrine Neoplasia Type 1
D018813,Multiple Endocrine Neoplasia Type 2a
D018814,Multiple Endocrine Neoplasia Type 2b
D009101,Multiple Myeloma
D055613,Multiple Pulmonary Nodules
D019042,Muscle Neoplasms
D009157,Myasthenia Gravis
D009182,Mycosis Fungoides
D009188,"Myelitis, Transverse"
D009208,Myoepithelioma
D047708,Myofibroma
D018224,Myofibromatosis
D009214,Myoma
D000077777,Myopericytoma
D009217,Myosarcoma
D009232,Myxoma
D000077274,Nasopharyngeal Carcinoma
D009303,Nasopharyngeal Neoplasms
D009347,Nelson Syndrome
D009362,Neoplasm Metastasis
D061206,Neoplasm Micrometastasis
D009364,"Neoplasm Recurrence, Local"
D009365,"Neoplasm Regression, Spontaneous"
D009366,Neoplasm Seeding
D018365,"Neoplasm, Residual"
D009370,Neoplasms by Histologic Type
D018205,"Neoplasms, Adipose Tissue"
D018294,"Neoplasms, Adnexal and Skin Appendage"
D018295,"Neoplasms, Basal Cell"
D018213,"Neoplasms, Bone Tissue"
D018204,"Neoplasms, Connective and Soft Tissue"
D009372,"Neoplasms, Connective Tissue"
D018297,"Neoplasms, Cystic, Mucinous, and Serous"
D009374,"Neoplasms, Experimental"
D018218,"Neoplasms, Fibrous Tissue"
D009373,"Neoplasms, Germ Cell and Embryonal"
D009375,"Neoplasms, Glandular and Epithelial"
D009376,"Neoplasms, Hormone-Dependent"
D018301,"Neoplasms, Mesothelial"
D009378,"Neoplasms, Multiple Primary"
D009380,"Neoplasms, Nerve Tissue"
D018302,"Neoplasms, Neuroepithelial"
D054219,"Neoplasms, Plasma Cell"
D009381,"Neoplasms, Radiation-Induced"
D016609,"Neoplasms, Second Primary"
D018307,"Neoplasms, Squamous Cell"
D009382,"Neoplasms, Unknown Primary"
D009383,"Neoplasms, Vascular Tissue"
D009360,"Neoplastic Cells, Circulating"
D009385,Neoplastic Processes
D009386,"Neoplastic Syndromes, Hereditary"
D018201,"Nephroma, Mesoblastic"
D018317,Nerve Sheath Neoplasms
D009423,Nervous System Neoplasms
D009442,Neurilemmoma
D009447,Neuroblastoma
D018306,Neurocytoma
D017599,Neuroectodermal Tumors
D018242,"Neuroectodermal Tumors, Primitive"
D018241,"Neuroectodermal Tumors, Primitive, Peripheral"
D018358,Neuroendocrine Tumors
D009455,Neurofibroma
D018318,"Neurofibroma, Plexiform"
D017253,Neurofibromatoses
D009456,Neurofibromatosis 1
D016518,Neurofibromatosis 2
D018319,Neurofibrosarcoma
D009463,Neuroma
D009464,"Neuroma, Acoustic"
D018326,Nevi and Melanomas
D009506,Nevus
D009507,Nevus of Ota
D018329,"Nevus, Blue"
D018332,"Nevus, Epithelioid and Spindle Cell"
D009508,"Nevus, Pigmented"
D054000,"Nevus, Sebaceous of Jadassohn"
D018331,"Nevus, Spindle Cell"
D009669,Nose Neoplasms
D009807,Odontogenic Cysts
D009808,Odontogenic Tumors
D009810,Odontoma
D009837,Oligodendroglioma
D053578,Opsoclonus-Myoclonus Syndrome
D020339,Optic Nerve Glioma
D019574,Optic Nerve Neoplasms
D009918,Orbital Neoplasms
D009959,Oropharyngeal Neoplasms
D018215,Osteoblastoma
D015831,Osteochondroma
D018216,Osteochondromatosis
D010016,Osteoma
D010017,"Osteoma, Osteoid"
D012516,Osteosarcoma
D018217,"Osteosarcoma, Juxtacortical"
D010039,Otorhinolaryngologic Neoplasms
D010048,Ovarian Cysts
D010051,Ovarian Neoplasms
D010145,"Paget Disease, Extramammary"
D010144,"Paget's Disease, Mammary"
D010157,Palatal Neoplasms
D054975,Pallister-Hall Syndrome
D010178,Pancoast Syndrome
D010181,Pancreatic Cyst
D000077779,Pancreatic Intraductal Neoplasms
D010190,Pancreatic Neoplasms
D010192,Pancreatic Pseudocyst
D010212,Papilloma
D020288,"Papilloma, Choroid Plexus"
D018300,"Papilloma, Intraductal"
D018308,"Papilloma, Inverted"
D010235,Paraganglioma
D010236,"Paraganglioma, Extra-Adrenal"
D010255,Paranasal Sinus Neoplasms
D020364,Paraneoplastic Polyneuropathy
D010257,Paraneoplastic Syndromes
D020361,"Paraneoplastic Syndromes, Nervous System"
D010282,Parathyroid Neoplasms
D010307,Parotid Neoplasms
D010310,Parovarian Cyst
D010386,Pelvic Neoplasms
D010412,Penile Neoplasms
D010509,Periodontal Cyst
D010524,Peripheral Nervous System Neoplasms
D010534,Peritoneal Neoplasms
D054973,Perivascular Epithelioid Cell Neoplasms
D010580,Peutz-Jeghers Syndrome
D010610,Pharyngeal Neoplasms
D010673,Pheochromocytoma
D003557,Phyllodes Tumor
D018296,Pilomatrixoma
D010864,Pilonidal Sinus
D010871,Pinealoma
D010911,Pituitary Neoplasms
D000069293,Plasmablastic Lymphoma
D010954,Plasmacytoma
D016066,"Pleural Effusion, Malignant"
D010997,Pleural Neoplasms
D011085,Polycystic Ovary Syndrome
D011087,Polycythemia Vera
D011151,Popliteal Cyst
D011230,Precancerous Conditions
D015452,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma
D054198,Precursor Cell Lymphoblastic Leukemia-Lymphoma
D054218,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
D011252,"Pregnancy Complications, Neoplastic"
D011289,Preleukemia
D015175,Prolactinoma
D019048,Prostatic Intraepithelial Neoplasia
D011471,Prostatic Neoplasms
D064129,"Prostatic Neoplasms, Castration-Resistant"
D016715,Proteus Syndrome
D011553,Pseudomyxoma Peritonei
D018202,Pulmonary Blastoma
D011842,Radicular Cyst
D012004,Rectal Neoplasms
D012142,Respiratory Tract Neoplasms
D019572,Retinal Neoplasms
D012175,Retinoblastoma
D012186,Retroperitoneal Neoplasms
D018335,Rhabdoid Tumor
D012207,Rhabdomyoma
D012208,Rhabdomyosarcoma
D018232,"Rhabdomyosarcoma, Alveolar"
D018233,"Rhabdomyosarcoma, Embryonal"
D012468,Salivary Gland Neoplasms
D012509,Sarcoma
D018234,"Sarcoma, Alveolar Soft Part"
D018227,"Sarcoma, Clear Cell"
D018203,"Sarcoma, Endometrial Stromal"
D012512,"Sarcoma, Ewing"
D012514,"Sarcoma, Kaposi"
D023981,"Sarcoma, Myeloid"
D013584,"Sarcoma, Synovial"
D018239,Seminoma
D012707,Sertoli Cell Tumor
D018310,Sertoli-Leydig Cell Tumor
D018312,Sex Cord-Gonadal Stromal Tumors
D012751,Sezary Syndrome
D012811,Sigmoid Neoplasms
D012878,Skin Neoplasms
D019292,Skull Base Neoplasms
D012888,Skull Neoplasms
D055752,Small Cell Lung Carcinoma
D000075122,Smoldering Multiple Myeloma
D018235,Smooth Muscle Tumor
D012983,Soft Tissue Neoplasms
D054363,"Solitary Fibrous Tumor, Pleural"
D054364,Solitary Fibrous Tumors
D013005,Somatostatinoma
D013120,Spinal Cord Neoplasms
D013125,Spinal Neoplasms
D000077195,Squamous Cell Carcinoma of Head and Neck
D065310,Squamous Intraepithelial Lesions of the Cervix
D013274,Stomach Neoplasms
D013330,Struma Ovarii
D013341,Sturge-Weber Syndrome
D013365,Submandibular Gland Neoplasms
D015173,Supratentorial Neoplasms
D013544,Sweat Gland Neoplasms
D013581,Synovial Cyst
D013586,"Synovitis, Pigmented Villonodular"
D018252,Syringoma
D052958,Tarlov Cysts
D013724,Teratoma
D013736,Testicular Neoplasms
D013899,Thoracic Neoplasms
D013945,Thymoma
D013953,Thymus Neoplasms
D013955,Thyroglossal Cyst
D000077273,"Thyroid Cancer, Papillary"
D065646,"Thyroid Carcinoma, Anaplastic"
D013964,Thyroid Neoplasms
D016606,Thyroid Nodule
D014062,Tongue Neoplasms
D014067,Tonsillar Neoplasms
D014134,Tracheal Neoplasms
D064726,Triple Negative Breast Neoplasms
D014328,Trophoblastic Neoplasms
D018245,"Trophoblastic Tumor, Placental Site"
D014402,Tuberous Sclerosis
D000069584,Unilateral Breast Neoplasms
D014496,Urachal Cyst
D014516,Ureteral Neoplasms
D014523,Urethral Neoplasms
D001749,Urinary Bladder Neoplasms
D014565,Urogenital Neoplasms
D014571,Urologic Neoplasms
D014582,Urticaria Pigmentosa
D002578,Uterine Cervical Dysplasia
D002583,Uterine Cervical Neoplasms
D014594,Uterine Neoplasms
D014604,Uveal Neoplasms
D014625,Vaginal Neoplasms
D019043,Vascular Neoplasms
D003969,Vipoma
D014846,Vulvar Neoplasms
D017624,WAGR Syndrome
D008258,Waldenstrom Macroglobulinemia
D009396,Wilms Tumor
D014983,Xeroderma Pigmentosum
D015043,Zollinger-Ellison Syndrome
D020434,Abducens Nerve Diseases
D020436,Accessory Nerve Diseases
D061227,Accessory Nerve Injuries
D000172,Acromegaly
D049913,ACTH-Secreting Pituitary Adenoma
D000071072,Acute Febrile Encephalopathy
D000326,Adrenoleukodystrophy
D061085,Agenesis of Corpus Callosum
D000370,Ageusia
D000377,Agnosia
D000381,Agraphia
D058540,Aicardi Syndrome
D015526,AIDS Dementia Complex
D017109,"Akathisia, Drug-Induced"
D000405,Akinetic Mutism
D000425,Alcohol Amnestic Disorder
D000430,Alcohol Withdrawal Delirium
D020270,Alcohol Withdrawal Seizures
D020268,"Alcohol-Induced Disorders, Nervous System"
D000076042,Alcoholic Korsakoff Syndrome
D020269,Alcoholic Neuropathy
D038261,Alexander Disease
D056769,Alstrom Syndrome
D000544,Alzheimer Disease
D020757,Amaurosis Fugax
D000550,Amblyopia
D000647,Amnesia
D020324,"Amnesia, Anterograde"
D000648,"Amnesia, Retrograde"
D020236,"Amnesia, Transient Global"
D017772,Amyloid Neuropathies
D028227,"Amyloid Neuropathies, Familial"
D000690,Amyotrophic Lateral Sclerosis
D000757,Anencephaly
D017204,Angelman Syndrome
D059445,Anhedonia
D015875,Anisocoria
D000849,Anomia
D000086582,Anosmia
D060426,Anti-N-Methyl-D-Aspartate Receptor Encephalitis
D001037,Aphasia
D001039,"Aphasia, Broca"
D018886,"Aphasia, Conduction"
D018888,"Aphasia, Primary Progressive"
D001041,"Aphasia, Wernicke"
D001044,Aphonia
D020240,"Apraxia, Ideomotor"
D001072,Apraxias
D016080,Arachnoid Cysts
D001100,Arachnoiditis
D056807,Argininosuccinic Aciduria
D001139,Arnold-Chiari Malformation
D020261,Arsenic Poisoning
D001184,Articulation Disorders
D001259,Ataxia
D001260,Ataxia Telangiectasia
D001304,"Auditory Diseases, Central"
D001308,Auditory Perceptual Disorders
D020274,Autoimmune Diseases of the Nervous System
D020211,Autonomic Dysreflexia
D001342,Autonomic Nervous System Diseases
D000083144,Autosomal Emery-Dreifuss Muscular Dystrophy
D020788,Bardet-Biedl Syndrome
D001480,Basal Ganglia Diseases
D020145,Basal Ganglia Hemorrhage
D020330,Bell Palsy
D065635,Benign Paroxysmal Positional Vertigo
D000071699,Bilateral Vestibulopathy
D001766,Blindness
D001906,Botulism
D020968,Brachial Plexus Neuritis
D020516,Brachial Plexus Neuropathies
D001922,Brain Abscess
D001924,Brain Concussion
D000070624,Brain Contusion
D001925,"Brain Damage, Chronic"
D001926,Brain Death
D001927,Brain Diseases
D001928,"Brain Diseases, Metabolic"
D020739,"Brain Diseases, Metabolic, Inborn"
D001929,Brain Edema
D020201,"Brain Hemorrhage, Traumatic"
D020520,Brain Infarction
D001930,Brain Injuries
D000070625,"Brain Injuries, Diffuse"
D000070642,"Brain Injuries, Traumatic"
D020208,"Brain Injury, Chronic"
D002545,Brain Ischemia
D001932,Brain Neoplasms
D020526,Brain Stem Infarctions
D020295,Brain Stem Neoplasms
D018437,Brown-Sequard Syndrome
D010244,"Bulbar Palsy, Progressive"
D055534,"Bulbo-Spinal Atrophy, X-Linked"
D046589,CADASIL
D017825,Canavan Disease
D020165,Carbamoyl-Phosphate Synthase I Deficiency Disease
D002340,Carotid Artery Diseases
D020212,Carotid Artery Injuries
D002341,Carotid Artery Thrombosis
D016893,Carotid Stenosis
D020216,Carotid-Cavernous Sinus Fistula
D002349,Carpal Tunnel Syndrome
D002375,Catalepsy
D002385,Cataplexy
D002389,Catatonia
D000077684,Cauda Equina Syndrome
D002422,Causalgia
D020226,Cavernous Sinus Thrombosis
D020210,Central Cord Syndrome
D020806,Central Nervous System Bacterial Infections
D020863,Central Nervous System Cysts
D002493,Central Nervous System Diseases
D020314,Central Nervous System Fungal Infections
D002494,Central Nervous System Infections
D016543,Central Nervous System Neoplasms
D020785,Central Nervous System Vascular Malformations
D020805,Central Nervous System Viral Diseases
D002524,Cerebellar Ataxia
D002526,Cerebellar Diseases
D002528,Cerebellar Neoplasms
D016657,Cerebral Amyloid Angiopathy
D028243,"Cerebral Amyloid Angiopathy, Familial"
D002539,Cerebral Arterial Diseases
D002543,Cerebral Hemorrhage
D020202,"Cerebral Hemorrhage, Traumatic"
D002544,Cerebral Infarction
D002547,Cerebral Palsy
D059345,Cerebral Small Vessel Diseases
D002551,Cerebral Ventricle Neoplasms
D058565,Cerebral Ventriculitis
D065634,Cerebrospinal Fluid Leak
D002561,Cerebrovascular Disorders
D020214,Cerebrovascular Trauma
D002607,Charcot-Marie-Tooth Disease
D000075562,Charles Bonnet Syndrome
D002819,Chorea
D016545,Choroid Plexus Neoplasms
D000070627,Chronic Traumatic Encephalopathy
D021081,Chronobiology Disorders
D020159,Citrullinemia
D054221,Classical Lissencephalies and Subcortical Band Heterotopias
D003027,Cluster Headache
D003057,Cockayne Syndrome
D038921,Coffin-Lowry Syndrome
D055952,Cogan Syndrome
D003117,Color Vision Defects
D003128,Coma
D020207,"Coma, Post-Head Injury"
D003147,Communication Disorders
D020918,Complex Regional Pain Syndromes
D003221,Confusion
D003244,Consciousness Disorders
D065306,Corneal Injuries
D057112,Corneal Perforation
D003389,Cranial Nerve Diseases
D020209,Cranial Nerve Injuries
D006259,Craniocerebral Trauma
D007562,Creutzfeldt-Jakob Syndrome
D003410,Cri-du-Chat Syndrome
D020430,Cubital Tunnel Syndrome
D003635,De Lange Syndrome
D054062,Deaf-Blind Disorders
D003638,Deafness
D003693,Delirium
D003704,Dementia
D015161,"Dementia, Multi-Infarct"
D015140,"Dementia, Vascular"
D020278,"Demyelinating Autoimmune Diseases, CNS"
D003711,Demyelinating Diseases
D003882,Dermatomyositis
D003929,Diabetic Neuropathies
D020833,Diffuse Axonal Injury
D002549,Diffuse Cerebral Sclerosis of Schilder
D000080443,Diffuse Intrinsic Pontine Glioma
D004172,Diplopia
D006970,Disorders of Excessive Somnolence
D049310,Distal Myopathies
D004314,Down Syndrome
D000069279,Drug Resistant Epilepsy
D004370,Duane Retraction Syndrome
D004393,"Dwarfism, Pituitary"
D004401,Dysarthria
D004402,"Dysautonomia, Familial"
D060705,Dyscalculia
D004408,Dysgeusia
D004409,"Dyskinesia, Drug-Induced"
D020820,Dyskinesias
D004410,Dyslexia
D004411,"Dyslexia, Acquired"
D055154,Dysphonia
D020920,Dyssomnias
D004421,Dystonia
D004422,Dystonia Musculorum Deformans
D020821,Dystonic Disorders
D000083262,Embolic Stroke
D000071257,Emergence Delirium
D004652,Empty Sella Syndrome
D004660,Encephalitis
D020803,"Encephalitis, Herpes Simplex"
D004672,"Encephalitis, Japanese"
D004675,"Encephalitis, Tick-Borne"
D018792,"Encephalitis, Viral"
D004677,Encephalocele
D004678,Encephalomalacia
D004679,Encephalomyelitis
D004673,"Encephalomyelitis, Acute Disseminated"
D004681,"Encephalomyelitis, Autoimmune, Experimental"
D020242,"Encephalomyelitis, Eastern Equine"
D004683,"Encephalomyelitis, Equine"
D004685,"Encephalomyelitis, Venezuelan Equine"
D020241,"Encephalomyelitis, Western Equine"
D016603,Eosinophilia-Myalgia Syndrome
D020802,Epidural Abscess
D015174,Epidural Neoplasms
D017036,Epilepsia Partialis Continua
D004831,"Epilepsies, Myoclonic"
D004828,"Epilepsies, Partial"
D004827,Epilepsy
D004832,"Epilepsy, Absence"
D020936,"Epilepsy, Benign Neonatal"
D017029,"Epilepsy, Complex Partial"
D017034,"Epilepsy, Frontal Lobe"
D004829,"Epilepsy, Generalized"
D020938,"Epilepsy, Partial, Motor"
D004834,"Epilepsy, Post-Traumatic"
D020195,"Epilepsy, Reflex"
D019305,"Epilepsy, Rolandic"
D004833,"Epilepsy, Temporal Lobe"
D004830,"Epilepsy, Tonic-Clonic"
D000073376,Epileptic Syndromes
D004948,Esotropia
D020329,Essential Tremor
D018304,"Esthesioneuroblastoma, Olfactory"
D005099,Exotropia
D005126,Eye Burns
D005129,Eye Foreign Bodies
D005131,Eye Injuries
D015807,"Eye Injuries, Penetrating"
D000795,Fabry Disease
D005150,Facial Hemiatrophy
D005151,Facial Injuries
D005155,Facial Nerve Diseases
D020220,Facial Nerve Injuries
D005156,Facial Neuralgia
D005158,Facial Paralysis
D055577,Farber Lipogranulomatosis
D005207,Fasciculation
D015673,"Fatigue Syndrome, Chronic"
D020428,Femoral Neuropathy
D005356,Fibromyalgia
D005600,Fragile X Syndrome
D005621,Friedreich Ataxia
D057180,Frontotemporal Dementia
D057174,Frontotemporal Lobar Degeneration
D005645,Fucosidosis
D020235,Gait Apraxia
D020234,Gait Ataxia
D020233,"Gait Disorders, Neurologic"
D005693,Galactosemias
D005733,Gangliosidoses
D020143,"Gangliosidoses, GM2"
D016537,"Gangliosidosis, GM1"
D005776,Gaucher Disease
D056768,Giant Axonal Neuropathy
D013700,Giant Cell Arteritis
D020435,Glossopharyngeal Nerve Diseases
D006009,Glycogen Storage Disease Type II
D052120,Glycogen Storage Disease Type IIb
D006014,Glycogen Storage Disease Type VII
D049912,Growth Hormone-Secreting Pituitary Adenoma
D020275,Guillain-Barre Syndrome
D006212,Hallucinations
D053421,Hand-Arm Vibration Syndrome
D016489,"Head Injuries, Closed"
D020197,"Head Injuries, Penetrating"
D020773,Headache Disorders
D051270,"Headache Disorders, Primary"
D051271,"Headache Disorders, Secondary"
D006311,Hearing Disorders
D034381,Hearing Loss
D006312,"Hearing Loss, Bilateral"
D006313,"Hearing Loss, Central"
D006314,"Hearing Loss, Conductive"
D006315,"Hearing Loss, Functional"
D006316,"Hearing Loss, High-Frequency"
D046089,"Hearing Loss, Mixed Conductive-Sensorineural"
D006317,"Hearing Loss, Noise-Induced"
D006319,"Hearing Loss, Sensorineural"
D003639,"Hearing Loss, Sudden"
D046088,"Hearing Loss, Unilateral"
D020786,"Hemangioma, Cavernous, Central Nervous System"
D006407,"Hematoma, Epidural, Cranial"
D006408,"Hematoma, Subdural"
D020199,"Hematoma, Subdural, Acute"
D020200,"Hematoma, Subdural, Chronic"
D046648,"Hematoma, Subdural, Intracranial"
D006423,Hemianopsia
D019569,Hemifacial Spasm
D065705,Hemimegalencephaly
D006429,Hemiplegia
D000083302,Hemorrhagic Stroke
D006501,Hepatic Encephalopathy
D006527,Hepatolenticular Degeneration
D020279,Hereditary Central Nervous System Demyelinating Diseases
D009477,Hereditary Sensory and Autonomic Neuropathies
D015417,Hereditary Sensory and Motor Neuropathy
D020271,"Heredodegenerative Disorders, Nervous System"
D016697,Herpes Zoster Oticus
D006685,Hoarseness
D016142,Holoprosencephaly
D006712,Homocystinuria
D006732,Horner Syndrome
D006816,Huntington Disease
D006832,Hydranencephaly
D006849,Hydrocephalus
D006850,"Hydrocephalus, Normal Pressure"
D012001,Hyperacusis
D006930,Hyperalgesia
D020162,Hyperargininemia
D000071017,Hyperekplexia
D006941,Hyperesthesia
D020158,"Hyperglycinemia, Nonketotic"
D006948,Hyperkinesis
D006966,Hyperprolactinemia
D020343,Hypertensive Encephalopathy
D006987,Hypesthesia
D020437,Hypoglossal Nerve Diseases
D020514,Hypokalemic Periodic Paralysis
D018476,Hypokinesia
D007018,Hypopituitarism
D007024,"Hypotension, Orthostatic"
D007027,Hypothalamic Diseases
D007029,Hypothalamic Neoplasms
D002534,"Hypoxia, Brain"
D020925,"Hypoxia-Ischemia, Brain"
D020177,Idiopathic Hypersomnia
D007088,Illusions
D007177,Inappropriate ADH Syndrome
D020243,"Infarction, Anterior Cerebral Artery"
D020244,"Infarction, Middle Cerebral Artery"
D020762,"Infarction, Posterior Cerebral Artery"
D000069544,Infectious Encephalitis
D015192,Infratentorial Neoplasms
D034062,"Insomnia, Fatal Familial"
D008607,Intellectual Disability
D002532,Intracranial Aneurysm
D020765,Intracranial Arterial Diseases
D002537,Intracranial Arteriosclerosis
D002538,Intracranial Arteriovenous Malformations
D020766,Intracranial Embolism
D002542,Intracranial Embolism and Thrombosis
D020299,"Intracranial Hemorrhage, Hypertensive"
D020198,"Intracranial Hemorrhage, Traumatic"
D020300,Intracranial Hemorrhages
D019586,Intracranial Hypertension
D019585,Intracranial Hypotension
D020767,Intracranial Thrombosis
D020386,Isaacs Syndrome
D002546,"Ischemic Attack, Transient"
D000083242,Ischemic Stroke
D007572,Jaw Fractures
D020179,Jet Lag Syndrome
D007625,Kearns-Sayre Syndrome
D007647,Kernicterus
D017593,Kleine-Levin Syndrome
D020915,Korsakoff Syndrome
D020192,Lafora Disease
D015624,Lambert-Eaton Myasthenic Syndrome
D018887,Landau-Kleffner Syndrome
D007805,Language Development Disorders
D007806,Language Disorders
D061224,Laryngeal Nerve Injuries
D020227,Lateral Sinus Thrombosis
D007849,Laurence-Moon Syndrome
D007859,Learning Disabilities
D007888,Leigh Disease
D065768,Lennox Gastaut Syndrome
D007926,Lesch-Nyhan Syndrome
D053609,Lethargy
D007965,"Leukodystrophy, Globoid Cell"
D007966,"Leukodystrophy, Metachromatic"
D056784,Leukoencephalopathies
D007968,"Leukoencephalopathy, Progressive Multifocal"
D007969,"Leukomalacia, Periventricular"
D020961,Lewy Body Disease
D020363,Limbic Encephalitis
D061222,Lingual Nerve Injuries
D054082,Lissencephaly
D000080422,Locked-In Syndrome
D020945,"Lupus Vasculitis, Central Nervous System"
D020852,Lyme Neuroborreliosis
D017827,Machado-Joseph Disease
D016779,"Malaria, Cerebral"
D054220,Malformations of Cortical Development
D054081,"Malformations of Cortical Development, Group II"
D008337,Mandibular Fractures
D008338,Mandibular Injuries
D000080902,Mandibular Nerve Injuries
D000087122,Mania
D008375,Maple Syrup Urine Disease
D008440,Maxillary Fractures
D008446,Maxillofacial Injuries
D058923,Medial Tibial Stress Syndrome
D020423,Median Neuropathy
D058627,Megalencephaly
D008538,Meige Syndrome
D017241,MELAS Syndrome
D008569,Memory Disorders
D055756,Meningeal Carcinomatosis
D008577,Meningeal Neoplasms
D008579,Meningioma
D008581,Meningitis
D008582,"Meningitis, Aseptic"
D016920,"Meningitis, Bacterial"
D016919,"Meningitis, Cryptococcal"
D016921,"Meningitis, Fungal"
D008585,"Meningitis, Meningococcal"
D008586,"Meningitis, Pneumococcal"
D008587,"Meningitis, Viral"
D008588,Meningocele
D008590,Meningoencephalitis
D008591,Meningomyelocele
D007706,Menkes Kinky Hair Syndrome
,"Mental Retardation, X-Linked"
D054078,Mevalonate Kinase Deficiency
D008831,Microcephaly
D055953,Microscopic Polyangiitis
D008881,Migraine Disorders
D020325,Migraine with Aura
D020326,Migraine without Aura
D019846,Miller Fisher Syndrome
D015877,Miosis
D017237,Mitochondrial Encephalomyopathies
D017240,Mitochondrial Myopathies
D020331,Mobius Syndrome
D020422,Mononeuropathies
D000070607,Morton Neuroma
D016472,Motor Neuron Disease
D009069,Movement Disorders
D009072,Moyamoya Disease
D009081,Mucolipidoses
D016532,Mucopolysaccharidosis II
D009103,Multiple Sclerosis
D020528,"Multiple Sclerosis, Chronic Progressive"
D020529,"Multiple Sclerosis, Relapsing-Remitting"
D052517,Multiple Sulfatase Deficiency Disease
